period ,district ,flood incidence
20221010,708 Kailali,1
20220917,708 Kailali,1
20210828,708 Kailali,1
20211018,708 Kailali,1
20210824,708 Kailali,1
20160604,708 Kailali,1
20200601,708 Kailali,1
20170803,709 Kanchanpur,1
20211019,709 Kanchanpur,1
20160731,709 Kanchanpur,1
20210826,709 Kanchanpur,1
20190716,709 Kanchanpur,1
20220925,709 Kanchanpur,1
20150731,709 Kanchanpur,1
20210521,709 Kanchanpur,1
