,,
periodname,organisationunitname,Outpatient Morbidity-Communicable-Water/Food Borne-Typhoid (Enteric Fever) Cases
Asar 2077,706 DOTI,383
Asar 2077,512 BARDIYA,270
Asar 2077,411 BAGLUNG,591
Asar 2077,Nepal,"24,655"
Asar 2077,701 BAJURA,185
Asar 2077,605 KALIKOT,78
Asar 2077,608 RUKUM WEST,657
Asar 2077,7 Sudurpashchim Province,"2,381"
Asar 2077,4 Gandaki Province,"2,619"
Asar 2077,2 Madhesh Province,"4,195"
Asar 2077,311 SINDHULI,505
Asar 2077,111 JHAPA,968
Asar 2077,702 BAJHANG,433
Asar 2077,305 NUWAKOT,204
Asar 2077,107 DHANKUTA,129
Asar 2077,306 KATHMANDU,"1,090"
Asar 2077,704 BAITADI,76
Asar 2077,103 SOLUKHUMBU,45
Asar 2077,602 MUGU,77
Asar 2077,301 DOLAKHA,124
Asar 2077,307 BHAKTAPUR,112
Asar 2077,407 TANAHU,138
Asar 2077,202 SIRAHA,744
Asar 2077,101 TAPLEJUNG,118
Asar 2077,204 MAHOTTARI,471
Asar 2077,302 SINDHUPALCHOK,229
Asar 2077,105 KHOTANG,196
Asar 2077,6 Karnali Province,"3,168"
Asar 2077,110 ILAM,75
Asar 2077,603 HUMLA,75
Asar 2077,112 MORANG,"1,218"
Asar 2077,410 PARBAT,176
Asar 2077,308 LALITPUR,453
Asar 2077,205 SARLAHI,768
Asar 2077,406 LAMJUNG,193
Asar 2077,507 NAWALPARASI WEST,123
Asar 2077,203 DHANUSA,489
Asar 2077,508 RUPANDEHI,414
Asar 2077,401 GORKHA,264
Asar 2077,207 BARA,438
Asar 2077,313 CHITWAN,227
Asar 2077,510 DANG,669
Asar 2077,106 BHOJPUR,159
Asar 2077,504 GULMI,462
Asar 2077,102 SANKHUWASABHA,178
Asar 2077,113 SUNSARI,159
Asar 2077,201 SAPTARI,258
Asar 2077,304 DHADING,447
Asar 2077,409 SYANGJA,206
Asar 2077,601 DOLPA,85
Asar 2077,303 RASUWA,35
Asar 2077,309 KAVREPALANCHOK,455
Asar 2077,206 RAUTAHAT ,728
Asar 2077,502 ROLPA,604
Asar 2077,405 KASKI,841
Asar 2077,5 Lumbini Province,"4,206"
Asar 2077,503 PYUTHAN,386
Asar 2077,1 Koshi Province,"3,834"
Asar 2077,607 JAJARKOT,275
Asar 2077,108 TERHATHUM,108
Asar 2077,610 SURKHET,761
Asar 2077,104 OKHALDHUNGA,138
Asar 2077,708 KAILALI,537
Asar 2077,505 ARGHAKHANCHI,185
Asar 2077,109 PANCHTHAR,81
Asar 2078,512 BARDIYA,376
Asar 2078,603 HUMLA,87
Asar 2078,605 KALIKOT,69
Asar 2078,5 Lumbini Province,"5,233"
Asar 2078,610 SURKHET,872
Asar 2078,709 KANCHANPUR,377
Asar 2078,707 ACHHAM,85
Asar 2078,312 MAKWANPUR,70
Asar 2078,114 UDAYAPUR,294
Asar 2078,411 BAGLUNG,476
Asar 2078,1 Koshi Province,"3,106"
Asar 2078,407 TANAHU,329
Asar 2078,402 MANANG,4
Asar 2078,608 RUKUM WEST,763
Asar 2078,602 MUGU,74
Asar 2078,704 BAITADI,207
Asar 2078,102 SANKHUWASABHA,238
Asar 2078,404 MYAGDI,15
Asar 2078,4 Gandaki Province,"3,012"
Asar 2078,408 NAWALPARASI EAST,219
Asar 2078,604 JUMLA,85
Asar 2078,7 Sudurpashchim Province,"2,924"
Asar 2078,706 DOTI,588
Asar 2078,403 MUSTANG,2
Asar 2078,307 BHAKTAPUR,78
Asar 2078,301 DOLAKHA,105
Asar 2078,510 DANG,426
Asar 2078,204 MAHOTTARI,617
Asar 2078,509 KAPILBASTU,670
Asar 2078,305 NUWAKOT,229
Asar 2078,105 KHOTANG,101
Asar 2078,Nepal,"29,041"
Asar 2078,111 JHAPA,736
Asar 2078,311 SINDHULI,743
Asar 2078,2 Madhesh Province,"6,950"
Asar 2078,302 SINDHUPALCHOK,236
Asar 2078,103 SOLUKHUMBU,14
Asar 2078,501 RUKUM EAST,153
Asar 2078,410 PARBAT,178
Asar 2078,606 DAILEKH,493
Asar 2078,705 DADELDHURA,102
Asar 2078,506 PALPA,415
Asar 2078,110 ILAM,169
Asar 2078,107 DHANKUTA,85
Asar 2078,306 KATHMANDU,800
Asar 2078,112 MORANG,751
Asar 2078,3 Bagmati Province,"4,090"
Asar 2078,208 PARSA,546
Asar 2078,202 SIRAHA,923
Asar 2078,101 TAPLEJUNG,103
Asar 2078,6 Karnali Province,"3,726"
Asar 2078,308 LALITPUR,511
Asar 2078,504 GULMI,547
Asar 2078,406 LAMJUNG,217
Asar 2078,203 DHANUSA,867
Asar 2078,507 NAWALPARASI WEST,251
Asar 2078,205 SARLAHI,"1,780"
Asar 2078,503 PYUTHAN,325
Asar 2078,106 BHOJPUR,94
Asar 2078,313 CHITWAN,556
Asar 2078,207 BARA,"1,040"
Asar 2078,702 BAJHANG,427
Asar 2078,201 SAPTARI,279
Asar 2078,701 BAJURA,259
Asar 2078,502 ROLPA,524
Asar 2078,607 JAJARKOT,714
Asar 2078,104 OKHALDHUNGA,104
Asar 2078,309 KAVREPALANCHOK,312
Asar 2078,601 DOLPA,94
Asar 2078,108 TERHATHUM,95
Asar 2078,113 SUNSARI,197
Asar 2078,303 RASUWA,23
Asar 2078,304 DHADING,346
Asar 2078,401 GORKHA,340
Asar 2078,508 RUPANDEHI,600
Asar 2078,405 KASKI,964
Asar 2078,511 BANKE,674
Asar 2078,609 SALYAN,475
Asar 2078,409 SYANGJA,268
Asar 2078,310 RAMECHHAP,81
Asar 2078,206 RAUTAHAT ,898
Asar 2078,703 DARCHULA,97
Asar 2078,708 KAILALI,782
Asar 2078,505 ARGHAKHANCHI,272
Asar 2078,109 PANCHTHAR,125
Asar 2079,602 MUGU,15
Asar 2079,608 RUKUM WEST,893
Asar 2079,409 SYANGJA,437
Asar 2079,610 SURKHET,846
Asar 2079,706 DOTI,368
Asar 2079,704 BAITADI,208
Asar 2079,7 Sudurpashchim Province,"2,982"
Asar 2079,102 SANKHUWASABHA,303
Asar 2079,301 DOLAKHA,425
Asar 2079,707 ACHHAM,124
Asar 2079,114 UDAYAPUR,513
Asar 2079,3 Bagmati Province,"5,107"
Asar 2079,108 TERHATHUM,233
Asar 2079,5 Lumbini Province,"6,107"
Asar 2079,407 TANAHU,217
Asar 2079,204 MAHOTTARI,"1,301"
Asar 2079,111 JHAPA,"1,301"
Asar 2079,1 Koshi Province,"4,781"
Asar 2079,401 GORKHA,303
Asar 2079,705 DADELDHURA,150
Asar 2079,2 Madhesh Province,"7,546"
Asar 2079,709 KANCHANPUR,555
Asar 2079,411 BAGLUNG,558
Asar 2079,501 RUKUM EAST,208
Asar 2079,511 BANKE,961
Asar 2079,310 RAMECHHAP,188
Asar 2079,609 SALYAN,521
Asar 2079,604 JUMLA,68
Asar 2079,703 DARCHULA,98
Asar 2079,207 BARA,918
Asar 2079,404 MYAGDI,12
Asar 2079,607 JAJARKOT,451
Asar 2079,4 Gandaki Province,"4,062"
Asar 2079,708 KAILALI,665
Asar 2079,601 DOLPA,59
Asar 2079,309 KAVREPALANCHOK,433
Asar 2079,605 KALIKOT,71
Asar 2079,701 BAJURA,315
Asar 2079,113 SUNSARI,229
Asar 2079,503 PYUTHAN,284
Asar 2079,304 DHADING,344
Asar 2079,512 BARDIYA,493
Asar 2079,508 RUPANDEHI,791
Asar 2079,106 BHOJPUR,100
Asar 2079,313 CHITWAN,425
Asar 2079,107 DHANKUTA,60
Asar 2079,306 KATHMANDU,"1,520"
Asar 2079,308 LALITPUR,219
Asar 2079,206 RAUTAHAT ,831
Asar 2079,201 SAPTARI,317
Asar 2079,505 ARGHAKHANCHI,336
Asar 2079,112 MORANG,"1,117"
Asar 2079,109 PANCHTHAR,198
Asar 2079,103 SOLUKHUMBU,108
Asar 2079,502 ROLPA,506
Asar 2079,104 OKHALDHUNGA,127
Asar 2079,303 RASUWA,20
Asar 2079,Nepal,"33,958"
Asar 2079,509 KAPILBASTU,570
Asar 2079,203 DHANUSA,930
Asar 2079,405 KASKI,"1,838"
Asar 2079,606 DAILEKH,353
Asar 2079,506 PALPA,424
Asar 2079,110 ILAM,320
Asar 2079,101 TAPLEJUNG,61
Asar 2079,202 SIRAHA,"1,066"
Asar 2079,6 Karnali Province,"3,373"
Asar 2079,408 NAWALPARASI EAST,312
Asar 2079,208 PARSA,669
Asar 2079,410 PARBAT,164
Asar 2079,510 DANG,736
Asar 2079,603 HUMLA,96
Asar 2079,504 GULMI,528
Asar 2079,307 BHAKTAPUR,290
Asar 2079,507 NAWALPARASI WEST,270
Asar 2079,702 BAJHANG,499
Asar 2079,305 NUWAKOT,144
Asar 2079,406 LAMJUNG,220
Asar 2079,105 KHOTANG,111
Asar 2079,205 SARLAHI,"1,514"
Asar 2079,302 SINDHUPALCHOK,121
Asar 2079,403 MUSTANG,1
Asar 2079,311 SINDHULI,710
Asar 2079,312 MAKWANPUR,268
Asar 2080,106 BHOJPUR,49
Asar 2080,306 KATHMANDU,"1,062"
Asar 2080,311 SINDHULI,506
Asar 2080,505 ARGHAKHANCHI,118
Asar 2080,201 SAPTARI,225
Asar 2080,601 DOLPA,45
Asar 2080,303 RASUWA,2
Asar 2080,113 SUNSARI,235
Asar 2080,504 GULMI,238
Asar 2080,405 KASKI,893
Asar 2080,502 ROLPA,570
Asar 2080,701 BAJURA,191
Asar 2080,4 Gandaki Province,"2,029"
Asar 2080,702 BAJHANG,353
Asar 2080,103 SOLUKHUMBU,25
Asar 2080,Nepal,"23,007"
Asar 2080,408 NAWALPARASI EAST,171
Asar 2080,313 CHITWAN,516
Asar 2080,511 BANKE,590
Asar 2080,609 SALYAN,372
Asar 2080,508 RUPANDEHI,578
Asar 2080,604 JUMLA,96
Asar 2080,108 TERHATHUM,117
Asar 2080,503 PYUTHAN,307
Asar 2080,104 OKHALDHUNGA,162
Asar 2080,109 PANCHTHAR,95
Asar 2080,206 RAUTAHAT ,835
Asar 2080,610 SURKHET,544
Asar 2080,607 JAJARKOT,209
Asar 2080,310 RAMECHHAP,66
Asar 2080,708 KAILALI,591
Asar 2080,409 SYANGJA,203
Asar 2080,703 DARCHULA,65
Asar 2080,608 RUKUM WEST,384
Asar 2080,7 Sudurpashchim Province,"3,261"
